"level","percent","se","variable"
"Female",51.5378785506105,0.595673362221884,"sex"
"Male",48.4621214493895,0.595673362221884,"sex"
"Mexican American",7.14619211168341,1.95689368653462,"race_ethnicity"
"Other Hispanic",9.488276703764,1.34847809900069,"race_ethnicity"
"Non-Hispanic White",60.1530869374505,1.92750598415328,"race_ethnicity"
"Non-Hispanic Black",10.9698177396077,1.33229706972987,"race_ethnicity"
"Non-Hispanic Asian",6.13762234556577,1.1775213387761,"race_ethnicity"
"Other/Multi-racial",6.10500416192859,0.517892796910683,"race_ethnicity"
"Less than 9th grade",3.76329711229148,0.474268089991584,"education"
"9th-11th grade",6.2702216316998,0.697883626895585,"education"
"High school/GED",26.4963771557533,1.80774841397805,"education"
"Some college/AA",29.319167285525,1.47635188979782,"education"
"College graduate or above",34.1509368147304,2.9421330638433,"education"
"Current",14.4675187064277,1.16760450093406,"smoking_status"
"Former",23.2676714193139,0.901484934166016,"smoking_status"
"Never",62.2648098742584,1.7361143925614,"smoking_status"
"Short",27.9257350131012,0.666443898124488,"sleep_category"
"Normal",57.859551783972,1.15985982829072,"sleep_category"
"Long",14.2147132029268,0.916617153504132,"sleep_category"
"Does not meet guideline",48.7750968194661,1.35247704511145,"meets_pa_guideline"
"Meets guideline",51.2249031805339,1.35247704511145,"meets_pa_guideline"
"<4 h/day",25.6150299852106,1.15240944577019,"sedentary_category"
"4 to <6 h/day",25.3883132574711,0.582701069862375,"sedentary_category"
"6 to <8 h/day",15.3040656886388,0.886489591716425,"sedentary_category"
"≥8 h/day",33.6925910686795,1.23308755893499,"sedentary_category"
