"model","term","odds_ratio","conf_low","conf_high","p_value","exposure","n_unweighted"
"Primary Model 5","(Intercept)",0.00646992629534121,0.00234074308706154,0.0178831869667921,2.5440244549283e-22,"sitting_per_60min",3064
"Primary Model 5","sitting_per_60min",1.07172233381507,1.04120172993443,1.10313758398226,2.61332608605652e-06,"sitting_per_60min",3064
"Primary Model 5","age",1.06754012939133,1.06160479525861,1.07350864742773,8.07120859888171e-117,"sitting_per_60min",3064
"Primary Model 5","sexMale",1.12535004763284,0.896536402076682,1.41256141610513,0.308547508998722,"sitting_per_60min",3064
"Primary Model 5","race_ethnicityOther Hispanic",0.847582805302505,0.499482244589318,1.4382825808656,0.539933481705381,"sitting_per_60min",3064
"Primary Model 5","race_ethnicityNon-Hispanic White",0.564946717426004,0.359699776707629,0.887308845314743,0.013172412156848,"sitting_per_60min",3064
"Primary Model 5","race_ethnicityNon-Hispanic Black",1.54567757831835,0.847065621534313,2.82046528082277,0.155868177523247,"sitting_per_60min",3064
"Primary Model 5","race_ethnicityNon-Hispanic Asian",1.18680540892691,0.596122088972934,2.36278290087339,0.625904621182477,"sitting_per_60min",3064
"Primary Model 5","race_ethnicityOther/Multi-racial",0.686898683784694,0.409327800349911,1.15269424989411,0.155033678775753,"sitting_per_60min",3064
"Primary Model 5","education9th-11th grade",2.21423617840602,1.33201142593114,3.68078062869076,0.00217194288435009,"sitting_per_60min",3064
"Primary Model 5","educationHigh school/GED",1.21792256482608,0.599489018983186,2.47433285171507,0.585658312745883,"sitting_per_60min",3064
"Primary Model 5","educationSome college/AA",1.26368753277218,0.687076951186682,2.32420280978099,0.451576700135157,"sitting_per_60min",3064
"Primary Model 5","educationCollege graduate or above",0.676616365139378,0.354886652559968,1.29001669201144,0.23541262256647,"sitting_per_60min",3064
"Primary Model 5","pir",0.875807905558334,0.8272502374894,0.927215795992208,5.19611674866712e-06,"sitting_per_60min",3064
"Primary Model 5","meets_pa_guidelineMeets guideline",0.65682855992524,0.540945928476875,0.797535824603044,2.1919225955749e-05,"sitting_per_60min",3064
"Primary Model 5","smoking_statusFormer",1.45633780613259,0.941909593714568,2.25172332857011,0.0908700065937845,"sitting_per_60min",3064
"Primary Model 5","smoking_statusNever",1.10445396914372,0.759189798473302,1.60673730391308,0.603428553418973,"sitting_per_60min",3064
"Primary Model 5","alcohol_ever",0.73596884899993,0.500471092009775,1.08228058592384,0.11920353654854,"sitting_per_60min",3064
"Primary Model 5","sleep_hours_weekday",1.05851616791859,0.974582688986929,1.149678206279,0.177278006108167,"sitting_per_60min",3064
"Excluding implausible sitting >20 h/day","(Intercept)",0.00646992629534121,0.00234074308706154,0.0178831869667921,2.5440244549283e-22,"sitting_per_60min",3064
"Excluding implausible sitting >20 h/day","sitting_per_60min",1.07172233381507,1.04120172993443,1.10313758398226,2.61332608605652e-06,"sitting_per_60min",3064
"Excluding implausible sitting >20 h/day","age",1.06754012939133,1.06160479525861,1.07350864742773,8.07120859888171e-117,"sitting_per_60min",3064
"Excluding implausible sitting >20 h/day","sexMale",1.12535004763284,0.896536402076682,1.41256141610513,0.308547508998722,"sitting_per_60min",3064
"Excluding implausible sitting >20 h/day","race_ethnicityOther Hispanic",0.847582805302505,0.499482244589318,1.4382825808656,0.539933481705381,"sitting_per_60min",3064
"Excluding implausible sitting >20 h/day","race_ethnicityNon-Hispanic White",0.564946717426004,0.359699776707629,0.887308845314743,0.013172412156848,"sitting_per_60min",3064
"Excluding implausible sitting >20 h/day","race_ethnicityNon-Hispanic Black",1.54567757831835,0.847065621534313,2.82046528082277,0.155868177523247,"sitting_per_60min",3064
