"model","term","odds_ratio","conf_low","conf_high","p_value","exposure","n_unweighted"
"Model 5 categorical","(Intercept)",0.00831399474788192,0.00310983415346946,0.022227072331395,1.33773283377051e-21,"Sedentary category",3064
"Model 5 categorical","sedentary_category4 to <6 h/day",0.870738094983573,0.649130043728528,1.16800144652171,0.355654429470784,"Sedentary category",3064
"Model 5 categorical","sedentary_category6 to <8 h/day",1.28259106474969,0.979990029153604,1.67862915992781,0.0698663649642395,"Sedentary category",3064
"Model 5 categorical","sedentary_category≥8 h/day",1.46272531111607,1.08244996205314,1.97659514137854,0.0132949573007121,"Sedentary category",3064
"Model 5 categorical","age",1.06701213832605,1.06135103501882,1.07270343719498,3.20948846836575e-126,"Sedentary category",3064
"Model 5 categorical","sexMale",1.12724775673001,0.907767570069824,1.39979389763295,0.27830110043822,"Sedentary category",3064
"Model 5 categorical","race_ethnicityOther Hispanic",0.865361350485187,0.502336176401731,1.49073529260348,0.602274971387848,"Sedentary category",3064
"Model 5 categorical","race_ethnicityNon-Hispanic White",0.58763902915424,0.365922611067676,0.943695792883025,0.0278220352898832,"Sedentary category",3064
"Model 5 categorical","race_ethnicityNon-Hispanic Black",1.6024666844622,0.855300738257357,3.00233515528499,0.141005053231204,"Sedentary category",3064
"Model 5 categorical","race_ethnicityNon-Hispanic Asian",1.21818258615881,0.610608086633611,2.43031306938946,0.57542401952719,"Sedentary category",3064
"Model 5 categorical","race_ethnicityOther/Multi-racial",0.723360159013565,0.431862098693439,1.21161343223028,0.218474293458493,"Sedentary category",3064
"Model 5 categorical","education9th-11th grade",2.26594576048009,1.34675465714852,3.81250598405872,0.00205990653534783,"Sedentary category",3064
"Model 5 categorical","educationHigh school/GED",1.27750784469541,0.624814642637661,2.61201671966056,0.502114494973301,"Sedentary category",3064
"Model 5 categorical","educationSome college/AA",1.33778983988885,0.709424593364345,2.52272288337585,0.368532283245887,"Sedentary category",3064
"Model 5 categorical","educationCollege graduate or above",0.717706736433805,0.368377130645139,1.39830330569209,0.329678723230352,"Sedentary category",3064
"Model 5 categorical","pir",0.881087109502308,0.832998600111442,0.931951739687526,9.81881245748391e-06,"Sedentary category",3064
"Model 5 categorical","meets_pa_guidelineMeets guideline",0.638468265101878,0.523738896552383,0.778330057640526,9.00647699880881e-06,"Sedentary category",3064
"Model 5 categorical","smoking_statusFormer",1.45058931494065,0.961712207836418,2.18798237505363,0.0760915746971088,"Sedentary category",3064
"Model 5 categorical","smoking_statusNever",1.09190918517873,0.755515613366717,1.57808210390878,0.639819381871634,"Sedentary category",3064
"Model 5 categorical","alcohol_ever",0.73585881268114,0.503595385970997,1.0752445460882,0.112948298992957,"Sedentary category",3064
"Model 5 categorical","sleep_hours_weekday",1.05692847780094,0.973989856269251,1.14692961122358,0.184205035012224,"Sedentary category",3064
