"model","term","odds_ratio","conf_low","conf_high","p_value","exposure","n_unweighted"
"Model 1","(Intercept)",0.177543256197543,0.153221119006223,0.205726260359359,5.20026601376679e-117,"Sedentary time per 60 min/day",6016
"Model 1","sitting_per_60min",1.03075460772024,1.00605902200122,1.05605639242031,0.0143558892158979,"Sedentary time per 60 min/day",6016
"Model 2","(Intercept)",0.00414898927468589,0.00243902607072524,0.00705778105780558,4.77616491248263e-91,"Sedentary time per 60 min/day",6016
"Model 2","sitting_per_60min",1.06116404114547,1.03839750877979,1.08442972243203,8.08817315623897e-08,"Sedentary time per 60 min/day",6016
"Model 2","age",1.07511878320221,1.06952160485102,1.08074525353343,6.87201285451546e-163,"Sedentary time per 60 min/day",6016
"Model 2","sexMale",1.10563536913443,0.955762685074228,1.27900951624417,0.176631604831569,"Sedentary time per 60 min/day",6016
"Model 2","race_ethnicityOther Hispanic",0.712124169298592,0.555048120054597,0.913652013539523,0.00757890934225339,"Sedentary time per 60 min/day",6016
"Model 2","race_ethnicityNon-Hispanic White",0.464498877729942,0.339476381742626,0.635564707932919,1.64168660826028e-06,"Sedentary time per 60 min/day",6016
"Model 2","race_ethnicityNon-Hispanic Black",1.59547280966164,1.01887567656796,2.49837496851837,0.0411787618667391,"Sedentary time per 60 min/day",6016
"Model 2","race_ethnicityNon-Hispanic Asian",0.809353392935185,0.477036046989921,1.37317277968626,0.432904817797272,"Sedentary time per 60 min/day",6016
"Model 2","race_ethnicityOther/Multi-racial",0.805741197670351,0.538999137157795,1.20448964175835,0.292354153223691,"Sedentary time per 60 min/day",6016
"Model 3","(Intercept)",0.00989566533801533,0.00504192174668465,0.0194219976830043,4.8581386596427e-41,"Sedentary time per 60 min/day",5236
"Model 3","sitting_per_60min",1.07278313513529,1.04984563289454,1.09622178629981,1.87531032813275e-10,"Sedentary time per 60 min/day",5236
"Model 3","age",1.0724960852966,1.0658007387852,1.07923349188854,2.31651512307154e-106,"Sedentary time per 60 min/day",5236
"Model 3","sexMale",1.04071995337791,0.903888005635006,1.19826573049613,0.57892014450764,"Sedentary time per 60 min/day",5236
"Model 3","race_ethnicityOther Hispanic",0.770242816758106,0.623541875175933,0.951458146415696,0.0154528790785333,"Sedentary time per 60 min/day",5236
"Model 3","race_ethnicityNon-Hispanic White",0.605877564588071,0.415012297347491,0.884522279502019,0.00944150125662674,"Sedentary time per 60 min/day",5236
